ep. 194 - おすすめの漫画5(N2)

(00:00:00) ん
(00:00:12) 皆さんこんにちは友ですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くない
(00:00:20) でもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
(00:00:28) さて今日はですね俺のおすすめの漫画の紹介をしたいと思います 前にも何回かしてるんですけどね
(00:00:35) あの前回のエピソードで最近すごい自炊してるっていう話をしたんですけど それでねあの昔読んでた漫画とかも
(00:00:45) ずっと持ってるのも邪魔だからね電子化してパソコンにデータを入れてそれをもう全部 処分しちゃおうと思って
(00:00:53) それでね昔の漫画をすごい奥の方から引っ張り出してたくさん自炊してるんですけどね 久しぶりにその漫画を見たらなんかねあのまた読みたくなって
(00:01:06) ちょっとちょっとずつ読んでるんですけど まあ昔の漫画でもねやっぱり面白いものはすごい面白いですね
(00:01:14) ということであの おすすめの漫画をいくつか紹介していきたいと思います
(00:01:21) じゃあまず早速一つ目ですけど一つ目はアームズっていう漫画です アームズはね
(00:01:29) 20年以上前かな結構昔ですね俺が子供の時の漫画なんですけど でもね今読んでもすごく面白いです最近これもう一度読んでます
(00:01:41) これはどんな話かっていうと アームズアームっていうのは腕っていう意味じゃなくて武器っていう方の意味のアーム
(00:01:50) なんですけど あの自分の体の一部腕とか足とかねそういうところに
(00:01:59) あの武器を移植されてしまった 少年たちが
(00:02:05) 敵と戦う漫画なんですよ こういうふうに言うとね全然
(00:02:10) 大して面白くなさそうに聞こえるかもしれないんですけど このね移植された武器っていうのが
(00:02:17) あの すごいね普通の武器じゃなくて
(00:02:22) なんかいろんな形に変わったりとかするものすごい ナノマシンっていうものすごい小さな機械ででねあの
(00:02:33) まあとにかくすごいんですよなんでもできちゃうんですよ でそのねあの
(00:02:40) アームズっていうまあ武器の体に移植された武器なんですけどそれを狙う もう世界で一番大きい
(00:02:51) 悪い組織みたいなところが狙ってくるんですよ アームズを捕まえてそして研究して自分たちの組織の武器にしようっていうふうに
(00:03:01) でその移植された少年たちは あのまあ要するにその敵の組織っていうのは
(00:03:08) 人体実験ですよね そんなことをして自分たちの人生も喰らわせてしまってそんなの許せないって言って
(00:03:16) あの 普通の生活に戻るために戦っていくんですけど
(00:03:21) まあこれがね面白いんですよ でね最初はね
(00:03:27) 結構話は単純なんですけどどんどんどんどん難しくなっていって あの子供の時に読んだんですけど
(00:03:36) 最後の方はね話が難しすぎてよくわかんないところが結構ありました だからねこれは
(00:03:43) まあ子供が読む雑誌に載ってたと思うんですけど でもね内容は特に後半は結構大人向けだと思います
(00:03:53) あのまあ話がちゃんとわかるとねすごく面白いと思うのでぜひ読んでみてください 20年ぐらい前って言ったけど全然古臭い感じはしないと思います
(00:04:04) この漫画を書いている人はねあの 結構有名っていうかいろんなヒット作を作っている人で
(00:04:12) もう一つね俺がこの漫画を書いた人の作品で好きなのがあって それはねドライブっていう漫画ですね
(00:04:20) あの ドライブってもちろんそのもともとの意味は英語の車を運転するというそのドライブ
(00:04:28) なんですけど このドライブに出てくる主人公は車だけじゃなくてどんな乗り物でも
(00:04:36) もう本当に8 どんなといってもエンジンがあるものだけなんだけどエンジンがある乗り物だったら
(00:04:43) なんでも すべてね
(00:04:46) プロ級もプロ普通のプロよりももっとすごい 例えば車だったら f 1に乗れるぐらい
(00:04:53) とにかくもう何でも上手に運転できちゃうっていうそういうすごい主人公なんですよ で例えば車とかねバイクもそうだし
(00:05:03) あとは船とかね飛行機なんかも何でも乗れちゃってでそのすごい能力を使って あの
(00:05:11) いろいろなあその少年はね 高校生なんですけど会社でアルバイトをしていてその会社っていうのはいろいろな問題を
(00:05:21) 解決する 何か問題があった時にお客さんから依頼が来てでそこに対してその
(00:05:28) 何でも運転できる人とかねあの何でも知ってるすごい人とかそういうすごい人たちを 派遣して問題を解決するという会社で
(00:05:37) でそこでいろいろな依頼をこなしていくっていうそういう漫画なんですけど まあこの人の漫画はね最初はそういう結構単純な話が多いんですけど
(00:05:47) 後からどんどんどんどんねー 大きな敵の組織が出てきてさっきのアームズみたいにね
(00:05:54) でどんどんその大きい組織と戦っていくっていう話に発展していって 最後やっぱり結構難しい
(00:06:02) まあアームズほどじゃないけどね話になってくるので読みごたえがすごいあると思います
(00:06:10) ってことでねあのとりあえずまずは2つですね アームズとドライブっていう漫画この2つの漫画は同じ人が書いたもので
(00:06:19) アームズが面白いという人はドライブも絶対面白いと思うのでぜひ読んでみてください えっとじゃああともう一つね紹介しておきます
(00:06:28) なんか今日はその敵と戦う話が多いのでじゃあついでにもう1個 戦う漫画なんですけど
(00:06:36) これはねまあ少年漫画ですねあの小学生中学生ぐらいが メインターゲットの漫画なんですけど
(00:06:44) ただね俺は今でも結構読んでて面白いなって思います ネットタイトルは何かっていうと
(00:06:51) ゴーストスイーパー三上極楽大作戦っていう話ですね これはどんな話かというと
(00:06:58) 幽霊とかまあゴーストですからね ゴーストスイーパー幽霊とか妖怪とかそういうのを倒すっていう漫画なんですけど
(00:07:08) その漫画の中の世界ではあの幽霊がね たくさんいてでその幽霊がいろんな悪いこととかをするから何かあった時に
(00:07:19) あの ゴーストスイーパーっていう仕事の人ですねその人に依頼をしてで幽霊を倒してもらう
(00:07:27) でその主人公のゴーストスイーパーが三上っていう人なんですけど えっと基本的にはね1話完結でいろんな幽霊とかお化けとかを倒していく
(00:07:40) で問題を解決するんですが これはねまぁ戦う漫画とはいったんですけど
(00:07:47) 半分アクション半分ギャグの漫画ですね まあ面白いんですよ
(00:07:53) あの 漫画家の人ってねすごいと思うんですよ
(00:07:58) これ少年漫画なんだけどでもあの 書いてる人はね
(00:08:05) 多分すっごくねいろんな本を読んだりいろんな映画を見たりとかして でいろんな知識を持っている人だと思うんですよ
(00:08:15) でねギャグ一つ一つも面白いんですけどでもねその中に実は結構ね あの有名な文学作品のパロディーとかをね
(00:08:25) 紛れ込ませたりとかしてして あの
