ep. 049 - ゲーム(N4)

みなさんこんにちはTomoです これは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のTomoがちょうどいい日本語で話をします
テーマはリクエストもできますリクエストがある人はメールやSNSなどで連絡をください その時に一緒にどのくらいのレベルの話がいいかも教えてください
みなさんからのメッセージ待ってます 今日もリクエストをもらっています
今日のリクエストはえっとノーパルさんですかね ノーパルさんからリクエストをもらいました
今日は 日本のゲームについてです
ゲームがとても好きな人だそうですね で今日のリクエストは今人気があるゲームについて話してください
っていうことなんですが ちょっとねあの
俺は今 最近のゲームっていうのはあまりわからないので 申し訳ないんですが今人気のゲームはわからないけどでも
昔人気だったゲームはわかります すみません俺はもう若くないのでちょっと今のゲームじゃなくて昔の話にしますね
ただ昔人気だったゲームは今でも人気があるものも多いです ですから
昔のゲームの話でも今の人もわかるかもしれません それじゃあまずは最近のゲームでどんなのが人気なのか
俺は詳しくわからないけどでもインターネットで どのゲームがよく売れているかを見ることができるので
せっかくなので少しそんな話もしたいと思います じゃあですね今一番売れているゲームが何かというのを
インターネットで調べると 一番上に出てくるのは
ポケモンです ポケットモンスター
多分これは結構世界でも有名なゲームだから 知っている人もたくさんいるんじゃないかと思います
ピカチュウとか有名だよね 俺は実はあんまりポケモン知らないんですけど
このポケモンも 俺が子供の時のゲームだから実は結構古いゲームですね
何年前だろう えーっと
20年以上前 かな
多分そうですね 23、4年ぐらい前かな
そのくらい昔のゲームですね どんなゲームかというと
RPG ロールプレイングゲームって言うんですけど
ロールプレイングゲームっていうのはゲームのキャラクターが 旅をするんです
旅っていうのは旅行とねちょっと似てるんですけど あのいろんなところに行くんですが
でも旅行みたいに遊びに行くのではありません ロールプレイングのキャラクターは
例えば悪い人がいて その悪い人と戦いに行ったりとか
あとは人じゃなくていろいろな悪いモンスター モンスターって
怖い動物みたいなものですね そのモンスターとかと戦ってそして世界を平和にする
そういうのがロールプレイングでよくある話です ポケモンはこのRPGのゲームで昔からあるゲームですが
今売れているのはその昔のポケモンじゃなくて ちょっと新しいポケモンですね
あと他には3位だと俺も知ってる マインクラフト
これもよく売れてますね 実は俺はやったことがないのでどんなゲームかわかんないんですけど
あと他にもマリオカート
マリオカートは
これもちょっと古いゲームですが俺も子供の時によくやりました 皆さんマリオというのを知ってるでしょうか
マリオはキャラクターの名前ですがこれもゲームのキャラクターで そのマリオっていうキャラクターが車に乗って他のキャラクターとレースをする
それがマリオカートです このマリオカートも今から20年以上
25年とかもしかしたらもうちょっと前かもしれませんね そのぐらい古いゲームなんですが今売れているのは新しいマリオカートで
マリオカート8って書いてあります ナンバー8まで出てますとても新しいマリオカートですね
あと他にも俺が知っているゲームだと 8スーパーマリオ今言ったマリオカートのキャラクターですけど
スーパーマリオメーカーっていうゲームも売れています スーパーマリオのいろいろなコースを自分で作ることができるゲームです
みんなスーパーマリオっていうゲームを知ってるかな スーパーマリオっていうのはマリオっていうキャラクターを
そのテレビの画面の左から右に走らせて そして邪魔のものをジャンプして避けたり
あとは敵のキャラクターいろいろなモンスターとか そういうのがいるからそれをジャンプして踏んだりして
そしてゴールに行くっていうそういうゲームです このマリオも昔からあるゲームなんですが
これどのぐらい昔からあるんだろう30年ぐらい前じゃないかな まあ昔からあるとても有名な人気のあるゲームですが
このマリオは人気がありすぎてみんながたくさんやってたから だからマリオのコースは
上手い人は全部簡単すぎて面白くない だから自分で難しいコースを作ろうっていうのがこのスーパーマリオメーカーです
自分でマリオのコースを作ることができます こういうのが最近売れているゲームなんですが
でも俺は最近あまりゲームをしないので今言ったゲームはあの どんなゲームかは
なんとなくわかるんですけどでもちゃんとやったことはありません じゃあ俺がちゃんとやったことがあるゲームってどんなものかというと
俺が好きなゲームは2つです まず一つはファイナルファンタジー
