ep. 100 - 教科書にないことば(N4)

(00:00:00) みなさんこんにちはトモです
(00:00:06) これは日本語を勉強している人のためのポッドキャストです
(00:00:11) 教科書の日本語は面白くない
(00:00:13) でもドラマや映画は難しすぎる
(00:00:16) そんな人のために日本語教師のトモが
(00:00:19) ちょうどいい日本語で話をします
(00:00:23) さて今日は言葉の勉強です
(00:00:26) 日本人なら絶対知っているけど
(00:00:31) でも外国の人はあまり知らない
(00:00:35) そんな言葉を皆さんに紹介したいと思います
(00:00:40) 真面目に日本語の勉強している人は
(00:00:43) 多分教科書とか学校の先生とか
(00:00:49) そういうところからたくさん言葉を覚えていると思うんですが
(00:00:55) でも教科書の中にはない
(00:01:00) 日本人は絶対知ってるけど
(00:01:03) でも教科書の中にはない言葉
(00:01:07) そういうものがたくさんあります
(00:01:10) もちろん全部紹介することはできないので
(00:01:14) 今日は少しだけしか皆さんに教えられないんですが
(00:01:19) でももし日本に来て
(00:01:22) 日本人の友達と話をしたりとか
(00:01:25) あとは日本で生活をするとか
(00:01:29) そういう人はこの言葉を覚えておくと
(00:01:32) 日本人と会話をするのが
(00:01:34) ちょっと楽しくなるかもしれません
(00:01:38) それじゃあまずは食べ物からいきたいと思います
(00:01:45) 日本語の勉強していれば
(00:01:48) 当然寿司とか天ぷらとかそういう言葉は
(00:01:52) よく聞くと思うんですが
(00:01:55) もちろん日本には
(00:01:57) そういう有名な日本料理の他にも
(00:02:00) いろんな食べ物があります
(00:02:03) そしてその中には
(00:02:04) 日本人なら必ず知っている食べ物もあります
(00:02:09) まずは俺が皆さんに覚えてほしいなと思うのは
(00:02:14) うまい棒です
(00:02:17) うまい棒って日本に住んでたら
(00:02:22) 子供の時に絶対みんな食べたことがあると思うんですよ
(00:02:27) うまい棒を食べたことがない
(00:02:29) 日本人なんて俺は見たことがない
(00:02:32) だからうまい棒って
(00:02:35) 日本人はみんな知ってるんじゃないかと思うんですけど
(00:02:40) じゃあこのうまい棒というのは何かというと
(00:02:44) お菓子です
(00:02:46) コンビニとかスーパーとかいろんなところで売っています
(00:02:51) うまい棒ってすごく昔からあるんですけど
(00:02:55) でも昔も今も値段が変わりません
(00:03:00) これすごいなって思うんですけど
(00:03:04) うまい棒って本当に俺が子供の時からだから
(00:03:08) もうずっと昔からあるんですけど
(00:03:11) その時から1本10円です
(00:03:16) ずっと10円です
(00:03:19) 今日本では消費税って言って買い物をすると
(00:03:26) えーと普通は10%
(00:03:30) 食べ物とかだと8%お金を払わなければいけないんですけど
(00:03:36) うまい棒は食べ物だから8%なので
(00:03:41) 10円のものを買っても0.8円払うことはできませんから
(00:03:47) 消費税っていうその8%払わなくても大丈夫です
(00:03:52) 1本だけ買えば今も10年前も20年前もずっと10円だけです
(00:04:01) えーとこのうまい棒っていろいろな味があります
(00:04:06) 美味しいと思うので
(00:04:08) あの日本に来たらぜひ食べてほしいお菓子の一つです
(00:04:14) お菓子の中でもう一つ皆さんに紹介したいものがあります
(00:04:21) アイスなんですけど
(00:04:23) ガリガリ君というアイスです
(00:04:27) えーとねこれはかき氷ってわかるかな
(00:04:32) あの日本で昔から食べられていたお菓子の一つ
(00:04:39) それがかき氷なんですけど
(00:04:42) そのかき氷を手で持って食べやすくしたアイスです
(00:04:49) ガリガリ君もすごく昔からあるお菓子で
(00:04:53) そしてやっぱり安いんですよ
(00:04:56) 子供が食べるものですから
(00:04:59) 一つ200円とか300円とか500円とか
(00:05:03) そういう高いものではありません
