ep. 071 - 質問の答え02(N3)

(00:00:00) みなさんこんにちはTomoです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:10) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のTomoがちょうどいい日本語で話をします。
(00:00:19) テーマはリクエストもできます。リクエストがある人はメールとかSNSでメッセージをください。
(00:00:26) えっとじゃあ今日はですね前回の続き メールでもらった質問の答えですね
(00:00:34) 前回2つしか答えてなかったですけどね今日も残りの質問に答えたいと思います じゃあですね前回2つ答えたので今日は3つ目から
(00:00:44) 3つ目はですね普通体の話し方について 普通体っていうのはあの丁寧な言葉じゃなくて友達とかと話すようなそんな話し方ですが
(00:00:57) この質問してくれた人は 自分の国の美容院に美容院っていうのは髪の毛を切ってもらうところですね
(00:01:07) その美容院に日本人がいてそしてその人と日本語で話すときに その日本人の美容院の人は普通体で話すそうです
(00:01:19) それは何でだと思いますかっていうそういう質問ですね えっとこれはね俺もはっきりと理由は分かりませんが
(00:01:30) いくつか考えることができます まず一つ目は
(00:01:35) その人は普通体の方が簡単な日本語だと思っているから じゃないですかね
(00:01:44) 普通体っていうのは仕事とかでは使わない言葉で友達だけじゃなくて家族とか あとは小さい子供にも使う言葉です
(00:01:56) だから 俺は日本語教師だからねちょっと違いますけど
(00:02:01) 普通の日本語を教えたことがない日本人は 普通体の方が簡単だと思っている人が多いかもしれません
(00:02:13) 日本語を教えたことがある人はわかると思うんですけど 大体の外国人が最初に勉強する日本語って普通体じゃなくてもっと丁寧な言葉で
(00:02:27) ですとかますを使う話し方ですね こういうのを丁寧体って言ったりするんですけど
(00:02:34) だから日本語の教科書を使って日本語を勉強した人は 普通体より丁寧体の方が分かりやすいと思うんですけど
(00:02:45) でも日本人は丁寧体っていうのは仕事の時とかに使う言葉だから難しい言葉だ 普通体の方が簡単だ
(00:02:56) と思っている人がいるかもしれないのでもしかしたらその美容院の人も できるだけ簡単な言葉で難しい言葉を使わないように気をつけなきゃと思って
(00:03:09) それで普通体で話をしたのかもしれません それか別の理由で考えられるのは
(00:03:17) 俺はこれはねちょっと良くないことだと思うんですけど もしかしたらその美容院の人が
(00:03:25) 相手を自分よりもすごい 若いっていうか子供みたいな感じで話をしていたのかもしれません
(00:03:35) 日本人同士でもその 相手が大人でも年齢が高い人ともっと若い人で話をする時に知らない人でも
(00:03:47) 普通体で話すことがあります 例えば50歳とか60歳ぐらいの人が
(00:03:54) もっと若い 20歳ぐらいの人に丁寧な言葉を使わないで普通体で話すことがあります
(00:04:03) 相手がお客さんでも若いからっていう理由で普通体で話す人もいます これは俺はすごく良くないことだとは思います
(00:04:15) 相手の年齢が何歳でも 最初は丁寧に話した方がいいんじゃないかと思うんですけど
(00:04:23) まあそれはね人それぞれみんな考え方が違いますからね しょうがないんですけど
(00:04:30) だからその美容院の人ももしかしたら 若い人に話しているから子供みたいな話し方になってしまったのかもしれません
(00:04:40) それか他に何か考えられる理由としては 話をしていてすごく楽しかったから
(00:04:48) つい友達みたいに話しちゃったとかそういうこともあるかもしれませんけど まあちょっとねどうしてなのかっていうのは俺は
(00:04:58) その時そこにいなかったからわからないですけど考えられる理由はこういうのがあります じゃあ続いてですね
(00:05:07) えっと4つ目の質問に行きたいと思います 4つ目は文法についてです
(00:05:13) えっとこのどんな文法なのかというとませんかっていう言葉の使い方です ませんかっていうのは日本語を勉強した人はね
(00:05:24) 多分結構最初の方に勉強する文法だと思うんですけど 誰か他の人を誘うときの言葉ですね
(00:05:33) 例えば一緒にご飯を食べに行きませんかとかそういう言葉です でこの質問をしてくれた人はこのませんかの使い方でちょっとわかんないところがある
