ep. 203 - 外国人に馴染みのない日本の習慣(N2)

(00:00:00) ん
(00:00:08) 皆さんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くない
(00:00:15) でもドラマや映画は難しすぎるそんな人のために日本語教授の友がちょうどいい日本語で 話をします
(00:00:22) はいじゃあ今日はですねあのまたリクエストをもらったんですけど 外国人がねその日本に来た時によく間違える習慣とか何か文化とかそういうのって
(00:00:34) ありますかっていう質問ですね えっと実は日本では最近ねあのだんだん
(00:00:41) 外国人の旅行者観光者がね国に入れるようにした方がいいんじゃないかっていう話が どんどん進んできてそれでもうすぐね日本に旅行に来れるようになるかも
(00:00:51) しれないんですよ まだねあの個人の
(00:00:56) あの個人の自由な旅行では日本には入れないとは思うんですけど ツアーとかねそういうので少しずつ観光客を入れておこうという話です
(00:01:06) なので今日はねそのもうすぐ外国人観光客 外国人の旅行者が日本に来るかもしれないのでそれにちょうどいい話題かなと思います
(00:01:17) ではえっとねー 外国人が間違える日本の習慣って何があるかですが
(00:01:25) 何だろうね何があるだろうねあの俺もよくよくっていうか毎日外国人と話してはいるけど そんなね旅行者とは話をしてないから旅行者が間違える
(00:01:38) あの ね日本の習慣とかっていうのはあんまり思いつかないんですけどとりあえずねうちの学生
(00:01:46) 俺のいる学校の学生がよく注意されていることとか それはねまあいくつか思い浮かぶのでそれについてちょっと話していこうかなと思います
(00:01:57) じゃあまずはねあの 一つ目これはねもう日本に来てから
(00:02:04) 何ヶ月経っても あのずーっとね注意される人がいるんですけど
(00:02:10) ゴミの分別かな ゴミをねなかなか分けて捨ててくれないなーっていうのがありますね
(00:02:19) あの気持ちはわかります正直俺もめんどくさいなと思うことはあります あとはねちょっとぐらいもプラスチックだけど燃えるゴミに入れちゃってもいいかなーっていう
(00:02:29) ようなこともまあないことはないです でもやっぱりねもう少しちゃんとわけないと日本ではダメなんじゃないかなーって思うことが
(00:02:39) ありますね 8まあ日本の音そのゴミの分け方について日本に来たことがない人は知らないと思います
(00:02:46) が 結構細かく分けますこれはあの自治体によってもね場所によっても違うんですけど
